from_id,relation,to_id
vraja-mandala,abode-of,krishna
navadvipa-dhama,abode-of,chaitanya
nilachala,abode-of,chaitanya
madhuvana,part-of,vraja-mandala
talavana,part-of,vraja-mandala
kumudavana,part-of,vraja-mandala
bahulavana,part-of,vraja-mandala
kamyavana,part-of,vraja-mandala
khadiravana,part-of,vraja-mandala
vrindavana,part-of,vraja-mandala
bhadravana,part-of,vraja-mandala
bhandiravana,part-of,vraja-mandala
bilvavana,part-of,vraja-mandala
lohavana,part-of,vraja-mandala
mahavana,part-of,vraja-mandala
mathura,part-of,vraja-mandala
gokula,part-of,vraja-mandala
govardhana,part-of,vraja-mandala
radha-kunda,part-of,vraja-mandala
shyama-kunda,part-of,vraja-mandala
manasi-ganga,part-of,vraja-mandala
barsana,part-of,vraja-mandala
nandagrama,part-of,vraja-mandala
raval,part-of,vraja-mandala
seva-kunja,part-of,vraja-mandala
nidhuvana,part-of,vraja-mandala
vamshivata,part-of,vraja-mandala
keshi-ghata,part-of,vraja-mandala
prema-sarovara,part-of,vraja-mandala
kusuma-sarovara,part-of,vraja-mandala
imlitala,part-of,vraja-mandala
ter-kadamba,part-of,vraja-mandala
sanket,part-of,vraja-mandala
antardvipa,part-of,navadvipa-dhama
simantadvipa,part-of,navadvipa-dhama
godrumadvipa,part-of,navadvipa-dhama
madhyadvipa,part-of,navadvipa-dhama
koladvipa,part-of,navadvipa-dhama
ritudvipa,part-of,navadvipa-dhama
jahnudvipa,part-of,navadvipa-dhama
modadrumadvipa,part-of,navadvipa-dhama
rudradvipa,part-of,navadvipa-dhama
jagannatha-mandir,part-of,nilachala
gundicha,part-of,nilachala
tota-gopinatha,part-of,nilachala
siddha-bakula,part-of,nilachala
gambhira,part-of,nilachala
narendra-sarovara,part-of,nilachala
chataka-parvata,part-of,nilachala
radha-kunda,near,govardhana
shyama-kunda,near,govardhana
manasi-ganga,near,govardhana
kusuma-sarovara,near,govardhana
seva-kunja,near,vrindavana
nidhuvana,near,vrindavana
vamshivata,near,vrindavana
keshi-ghata,near,vrindavana
imlitala,near,vrindavana
ter-kadamba,near,nandagrama
prema-sarovara,near,barsana
sanket,near,barsana
raval,near,gokula
