id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence,iast_status
krishna,personality,vishnu-tattva,svayam-bhagavan|source-of-all|vraja|gita|bhagavatam|cc,Krishna,Kṛṣṇa,Кришна,Govinda|Gopala|Shyamasundara|Madhava|Hari|Vrajendra-nandana,Изначальная Верховная Личность Бога; источник всех форм Бога и всех аватар,СБ 1.3.28; Б.-с. 5.1,verified,verified
balarama,personality,vishnu-tattva,prakasha-vilasa|first-expansion|vraja,Balarama,Balarāma,Баларама,Baladeva|Sankarshana,Первая экспансия Кришны; источник чатур-вьюхи и пуруша-аватар,Ч.-ч. Ади 5,verified,verified
vishnu,personality,vishnu-tattva,vilasa|guna-avatara|maintainer,Vishnu,Viṣṇu,Вишну,Narayana|Hari|Janardana,Гуна-аватара благости; поддерживающая экспансия Кришны,Ч.-ч. Мадхья 20,verified,verified
narayana,personality,vishnu-tattva,vilasa|vaikuntha,Narayana,Nārāyaṇa,Нараяна,Vishnu,Господь Вайкунтхи; экспансия Кришны,,verified,verified
rama,personality,vishnu-tattva,avatara|lila-avatara|ramayana,Ramachandra,Rāmacandra,Рамачандра,Rama|Raghunatha|Raghupati,Лила-аватара; герой Рамаяны,,verified,verified
nrisimha,personality,vishnu-tattva,avatara|lila-avatara,Nrisimha,Nṛsiṁha,Нрисимха,Narasimha|Nrihari,Лила-аватара; защитник Прахлады,СБ 7.8,verified,verified
varaha,personality,vishnu-tattva,avatara|lila-avatara,Varaha,Varāha,Вараха,,"Лила-аватара; вепрь, поднявший Землю",,verified,verified
vamana,personality,vishnu-tattva,avatara|lila-avatara,Vamana,Vāmana,Вамана,Trivikrama|Upendra,Лила-аватара; испытал Бали Махараджа,СБ 8.18-22,verified,verified
kurma,personality,vishnu-tattva,avatara|lila-avatara,Kurma,Kūrma,Курма,,Лила-аватара; черепаха при пахтанье океана,,verified,verified
matsya,personality,vishnu-tattva,avatara|lila-avatara,Matsya,Matsya,Матсья,,"Лила-аватара; рыба, спасшая Веды",,verified,verified
kalki,personality,vishnu-tattva,avatara|lila-avatara,Kalki,Kalki,Калки,,Грядущий аватар в конце Кали-юги,,verified,verified
buddha,personality,vishnu-tattva,avatara|lila-avatara,Buddha,Buddha,Будда,,"Аватара Бхагаватам, явившийся, чтобы ввести в заблуждение безбожников",СБ 1.3.24,verified,verified
kapila,personality,vishnu-tattva,avatara|lila-avatara|sage,Kapila,Kapila,Капила,,Лила-аватара; сын Девахути; учил санкхье,СБ 3.25-33,verified,verified
parashurama,personality,vishnu-tattva,avatara|shaktyavesha,Parashurama,Paraśurāma,Парашурама,Bhargava,Воин-брахман; обычно относится к шактьявеша-аватарам,,review,verified
rishabha,personality,vishnu-tattva,avatara|lila-avatara,Rishabhadeva,Ṛṣabhadeva,Ришабхадева,,Лила-аватара; отец Бхараты,СБ 5.3-6,verified,verified
chaitanya,personality,vishnu-tattva,yuga-avatara|svayam-bhagavan|channa-avatara|pancha-tattva|cc,Chaitanya Mahaprabhu,Caitanya Mahāprabhu,Шри Кришна Чайтанья Махапрабху,Gauranga|Gaurahari|Nimai|Vishvambhara|Sachinandana,Сам Кришна в умонастроении Радхарани; скрытый юга-аватар Кали,СБ 11.5.32; Ч.-ч. Ади 3,verified,verified
nityananda,personality,vishnu-tattva,pancha-tattva|prakasha-vilasa,Nityananda Prabhu,Nityānanda Prabhu,Нитьянанда Прабху,Nitai,Баларама в лиле Чайтаньи,Ч.-ч. Ади 5,verified,verified
advaita,personality,vishnu-tattva,pancha-tattva|avatara,Advaita Acharya,Advaita Ācārya,Адвайта Ачарья,Advaita,Воплощение Маха-Вишну (и Садашивы); призвал Чайтанью прийти,Ч.-ч. Ади 6,verified,verified
radharani,personality,shakti-tattva,hladini-shakti|vraja|cc,Radharani,Rādhārāṇī,Шримати Радхарани,Radha|Radhika|Sri Radha,Внутренняя энергия наслаждения Кришны (хладини-шакти),Ч.-ч. Ади 4,verified,verified
rukmini,personality,shakti-tattva,krishna-consort|bhagavatam,Rukmini,Rukmiṇī,Рукмини,,Главная царица Кришны в Двараке; экспансия Лакшми,СБ 10.52-54,verified,verified
satyabhama,personality,shakti-tattva,krishna-consort,Satyabhama,Satyabhāmā,Сатьябхама,,Царица Кришны в Двараке,,review,verified
lakshmi,personality,shakti-tattva,goddess,Lakshmi,Lakṣmī,Лакшми,Sri|Rama-devi|Padma,Богиня процветания; супруга Нараяны,,verified,verified
sita,personality,shakti-tattva,ramayana,Sita,Sītā,Сита,Janaki|Vaidehi,Супруга Рамы; форма Лакшми,,verified,verified
gadadhara,personality,shakti-tattva,pancha-tattva,Gadadhara Pandita,Gadādhara Paṇḍita,Гададхара Пандит,,Энергия преданности (шакти) в Панча-таттве,Ч.-ч. Ади 7.5,verified,verified
subhadra,personality,shakti-tattva,krishna-family,Subhadra,Subhadrā,Субхадра,,Сестра Кришны и Баларамы,,review,verified
shiva,personality,shiva-tattva,guna-avatara|maha-jana,Shiva,Śiva,Шива,Mahadeva|Shambhu|Rudra|Mahesha,Гуна-аватара невежества; не Вишну-таттва и не обычная джива,Б.-с. 5.45,verified,verified
nanda,personality,jiva-tattva,vraja|krishna-family|eternal-associate|rasa:vatsalya,Nanda Maharaja,Nanda Mahārāja,Нанда Махарадж,,Приёмный отец Кришны во Вриндаване,,verified,verified
yashoda,personality,jiva-tattva,vraja|krishna-family|eternal-associate|rasa:vatsalya,Yashoda,Yaśodā,Яшода,,Приёмная мать Кришны во Вриндаване,,verified,verified
vasudeva,personality,jiva-tattva,krishna-family|bhagavatam|rasa:vatsalya,Vasudeva,Vasudeva,Васудева,Anakadundubhi,Отец Кришны,,verified,verified
devaki,personality,jiva-tattva,krishna-family|bhagavatam|rasa:vatsalya,Devaki,Devakī,Деваки,,Мать Кришны,,verified,verified
