from_id,relation,to_id
upendra-mishra,gauranga-lila-identity,parjanya
kamalavati-devi,gauranga-lila-identity,variyasi-devi
shachidevi,gauranga-lila-identity,yashoda
jagannatha-mishra,gauranga-lila-identity,nanda
padmavati,gauranga-lila-identity,rohini
govinda-acharya,gauranga-lila-identity,paurnamasi
malini-devi,gauranga-lila-identity,ambika-nurse
narayani-devi,gauranga-lila-identity,kilambika
vallabhacharya-gl,gauranga-lila-identity,janaka
lakshmipriya,gauranga-lila-identity,janaki-rukmini
sanatana-mishra,gauranga-lila-identity,satrajit
vishnupriya,gauranga-lila-identity,bhu-devi
vanamali-acharya,gauranga-lila-identity,vishvamitra
kashinatha,gauranga-lila-identity,kulaka
jagadananda-pandit,gauranga-lila-identity,satyabhama
keshava-bharati,gauranga-lila-identity,sandipani
gangadasa-pandit,gauranga-lila-identity,vasishtha
sudarshana,gauranga-lila-identity,vasishtha
pundarika-vidyanidhi,gauranga-lila-identity,vrishabhanu
madhava-mishra,gauranga-lila-identity,vrishabhanu
ratnavati-devi,gauranga-lila-identity,kirtida
vasudha-devi,gauranga-lila-identity,varuni-devi
jahnavi-devi,gauranga-lila-identity,revati
surya-das,gauranga-lila-identity,kakudmi
vasudha-devi,gauranga-lila-identity,ananga-manjari
virachandra,gauranga-lila-identity,kshirodakashayi-vishnu
ganga-devi,gauranga-lila-identity,ganga
shri-madhava-ganga,gauranga-lila-identity,shantanu
raghunandana-thakura,gauranga-lila-identity,pradyumna
vakreshvara-pandit,gauranga-lila-identity,aniruddha
nakula-brahmachari,gauranga-lila-identity,chaitanya
pradyumna-mishra,gauranga-lila-identity,chaitanya
bhagavan-acharya,gauranga-lila-identity,chaitanya
gopinatha-acharya,gauranga-lila-identity,brahma
kuvera-pandit,gauranga-lila-identity,kuvera
sita-advaita,gauranga-lila-identity,yogamaya
achyutananda,gauranga-lila-identity,karttikeya
nandini,gauranga-lila-identity,jaya
jangali,gauranga-lila-identity,vijaya
srivasa,gauranga-lila-identity,narada
rama-pandit,gauranga-lila-identity,parvata-muni
murari-gupta,gauranga-lila-identity,hanuman
purandara-acharya,gauranga-lila-identity,angada
govindananda,gauranga-lila-identity,sugriva
ramachandra-puri,gauranga-lila-identity,vibhishana
haridasa-thakura,gauranga-lila-identity,prahlada
nilambara-chakravarti,gauranga-lila-identity,garga-muni
