id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence,iast_status
ujjvala-nilamani,scripture,,grantha,Уджжвала-ниламани,Ujjvala-nīlamaṇi,Уджжвала-ниламани,,Наука о супружеской расе (мадхурья) и её разновидностях.,,verified,provisional
radha-krishna-ganoddesa-dipika,scripture,,grantha,Радха-Кришна-ганоддеша-дипика,Rādhā-Kṛṣṇa-gaṇoddeśa-dīpikā,Радха-Кришна-ганоддеша-дипика,,Описание вечных спутников Радхи и Кришны во Врадже.,,verified,provisional
vidagdha-madhava,scripture,,grantha,Видагдха-Мадхава,Vidagdha-mādhava,Видагдха-Мадхава,,Драма об играх Кришны во Вриндаване.,,verified,provisional
lalita-madhava,scripture,,grantha,Лалита-Мадхава,Lalita-mādhava,Лалита-Мадхава,,Драма об играх Кришны в Матхуре и Двараке.,,verified,provisional
stava-mala,scripture,,grantha,Става-мала,Stava-mālā,Става-мала,,Собрание молитв и гимнов Рупы Госвами.,,verified,provisional
padyavali,scripture,,grantha,Падьявали,Padyāvalī,Падьявали,,Антология преданных стихов вайшнавских поэтов.,,verified,provisional
hamsaduta,scripture,,grantha,Хамсадута,Haṁsadūta,Хамсадута,,Поэма-послание: гопи шлют лебедя вестником к Кришне.,,verified,provisional
uddhava-sandesha,scripture,,grantha,Уддхава-сандеша,Uddhava-sandeśa,Уддхава-сандеша,,"Поэма о послании, переданном через Уддхаву во Врадж.",,verified,provisional
dana-keli-kaumudi,scripture,,grantha,Дана-кели-каумуди,Dāna-keli-kaumudī,Дана-кели-каумуди,,Драма об игре сбора пошлины (дана-лила) у Говардхана.,,verified,provisional
mathura-mahatmya,scripture,,grantha,Матхура-махатмья,Mathurā-māhātmya,Матхура-махатмья,,Свод свидетельств писаний о славе Матхура-мандалы.,,verified,provisional
brihad-bhagavatamrita,scripture,,grantha,Брихад-Бхагаватамрита,Bṛhad-bhāgavatāmṛta,Брихад-Бхагаватамрита,,Поиск высшего получателя милости и высшей обители; путь Гопа-кумара.,,verified,provisional
dashama-tippani,scripture,,grantha,Дашама-типпани (Вайшнава-тошани),Daśama-ṭippanī,Дашама-типпани (Вайшнава-тошани),,Комментарий к Десятой песни «Шримад-Бхагаватам».,,verified,provisional
shat-sandarbha,scripture,,grantha,Шат-сандарбха,Ṣaṭ-sandarbha,Шат-сандарбха,,Шесть философских трактатов — систематика гаудия-веданты.,,verified,provisional
gopala-champu,scripture,,grantha,Гопала-чампу,Gopāla-campū,Гопала-чампу,,Поэтико-прозаический свод вечных игр Кришны во Врадже.,,verified,provisional
hari-namamrita-vyakarana,scripture,,grantha,Хари-намамрита-вьякарана,Hari-nāmāmṛta-vyākaraṇa,Хари-намамрита-вьякарана,,"Санскритская грамматика, построенная на именах Господа.",,verified,provisional
sarva-samvadini,scripture,,grantha,Сарва-самвадини,Sarva-saṁvādinī,Сарва-самвадини,,Авторский комментарий-дополнение к «Сандарбхам».,,verified,provisional
stavavali,scripture,,grantha,Стававали,Stavāvalī,Стававали,,Собрание молитв в настроении служанок Радхи.,,verified,provisional
manah-shiksha,scripture,,grantha,Манах-шикша,Manaḥ-śikṣā,Манах-шикша,,Одиннадцать стихов наставления собственному уму.,,verified,provisional
mukta-charita,scripture,,grantha,Мукта-чарита,Muktā-carita,Мукта-чарита,,Поэма об игре с жемчугом Радхи и Кришны.,,verified,provisional
vraja-vilasa-stava,scripture,,grantha,Враджа-виласа-става,Vraja-vilāsa-stava,Враджа-виласа-става,,"Молитвы, прославляющие игры и места Враджа.",,verified,provisional
sat-kriya-sara-dipika,scripture,,grantha,Сат-крия-сара-дипика,Sat-kriyā-sāra-dīpikā,Сат-крия-сара-дипика,,Руководство по вайшнавским обрядам и самскарам.,,verified,provisional
ananda-vrindavana-champu,scripture,,grantha,Ананда-вриндавана-чампу,Ānanda-vṛndāvana-campū,Ананда-вриндавана-чампу,,Поэтический свод игр Кришны во Вриндаване.,,verified,provisional
chaitanya-chandrodaya-nataka,scripture,,grantha,Чайтанья-чандродая-натака,Caitanya-candrodaya-nāṭaka,Чайтанья-чандродая-натака,,Драма о явлении и играх Шри Чайтаньи.,,verified,provisional
alankara-kaustubha,scripture,,grantha,Аланкара-каустубха,Alaṅkāra-kaustubha,Аланкара-каустубха,,Трактат по санскритской поэтике и риторике.,,verified,provisional
chaitanya-chandramrita,scripture,,grantha,Чайтанья-чандрамрита,Caitanya-candrāmṛta,Чайтанья-чандрамрита,,Сто строф во славу Шри Чайтаньи и Его милости.,,verified,provisional
radha-rasa-sudha-nidhi,scripture,,grantha,Радха-раса-судха-нидхи,Rādhā-rasa-sudhā-nidhi,Радха-раса-судха-нидхи,,"Молитвы, прославляющие Шримати Радхарани.",,verified,provisional
vrindavana-mahimamrita,scripture,,grantha,Вриндавана-махимамрита,Vṛndāvana-mahimāmṛta,Вриндавана-махимамрита,,Поэма о величии Шри Вриндавана-дхамы.,,verified,provisional
govinda-lilamrita,scripture,,grantha,Говинда-лиламрита,Govinda-līlāmṛta,Говинда-лиламрита,,Поэтическое описание суточных игр (аштакалия-лила) Радхи-Кришны.,,verified,provisional
madhurya-kadambini,scripture,,grantha,Мадхурья-кадамбини,Mādhurya-kādambinī,Мадхурья-кадамбини,,Трактат о ступенях развития бхакти — от веры до премы.,,verified,provisional
bhakti-rasamrita-sindhu-bindu,scripture,,grantha,Бхакти-расамрита-синдху-бинду,Bhakti-rasāmṛta-sindhu-bindu,Бхакти-расамрита-синдху-бинду,,Краткое изложение «Бхакти-расамрита-синдху» Рупы.,,verified,provisional
sarartha-darshini,scripture,,grantha,Сарартха-даршини,Sārārtha-darśinī,Сарартха-даршини,,Комментарий к «Шримад-Бхагаватам».,,verified,provisional
krishna-bhavanamrita,scripture,,grantha,Кришна-бхаванамрита,Kṛṣṇa-bhāvanāmṛta,Кришна-бхаванамрита,,Поэма о медитации на суточные игры Кришны.,,verified,provisional
gurv-ashtaka,scripture,,grantha,Гурв-аштака,Gurv-aṣṭaka,Гурв-аштака,,Восемь молитв духовному учителю.,,verified,provisional
govinda-bhashya,scripture,,grantha,Говинда-бхашья,Govinda-bhāṣya,Говинда-бхашья,,Гаудия-комментарий к «Веданта-сутре».,,verified,provisional
prameya-ratnavali,scripture,,grantha,Прамея-ратнавали,Prameya-ratnāvalī,Прамея-ратнавали,,Девять основных истин (прамей) гаудия-вайшнавизма.,,verified,provisional
gita-bhushana,scripture,,grantha,Гита-бхушана,Gītā-bhūṣaṇa,Гита-бхушана,,Комментарий к «Бхагавад-гите».,,verified,provisional
prarthana,scripture,,grantha,Прартхана,Prārthanā,Прартхана,,Молитвенные песни на бенгали о жажде служения.,,verified,provisional
prema-bhakti-chandrika,scripture,,grantha,Према-бхакти-чандрика,Prema-bhakti-candrikā,Према-бхакти-чандрика,,Песни о пути преданности и преме.,,verified,provisional
jaiva-dharma,scripture,,grantha,Джайва-дхарма,Jaiva-dharma,Джайва-дхарма,,Философский роман о вечной природе и пути души.,,verified,provisional
harinama-chintamani,scripture,,grantha,Харинама-чинтамани,Harināma-cintāmaṇi,Харинама-чинтамани,,Наука святого имени и десять оскорблений.,,verified,provisional
bhajana-rahasya,scripture,,grantha,Бхаджана-рахасья,Bhajana-rahasya,Бхаджана-рахасья,,Тайна бхаджаны по восьми строфам Шикшаштаки.,,verified,provisional
sharanagati,scripture,,grantha,Шаранагати,Śaraṇāgati,Шаранагати,,Песни о предании себя Господу (шесть видов шаранагати).,,verified,provisional
gitavali,scripture,,grantha,Гитавали,Gītāvalī,Гитавали,,Сборник бхаджанов и киртанов Бхактивиноды.,,verified,provisional
kalyana-kalpataru,scripture,,grantha,Кальяна-калпатару,Kalyāṇa-kalpataru,Кальяна-калпатару,,Сборник наставляющих и молитвенных песен.,,verified,provisional
navadvipa-dhama-mahatmya,scripture,,grantha,Навадвипа-дхама-махатмья,Navadvīpa-dhāma-māhātmya,Навадвипа-дхама-махатмья,,Слава святой земли Навадвипы и её девяти островов.,,verified,provisional
chaitanya-shikshamrita,scripture,,grantha,Чайтанья-шикшамрита,Caitanya-śikṣāmṛta,Чайтанья-шикшамрита,,Нектар учений Шри Чайтаньи в систематическом изложении.,,verified,provisional
krishna-samhita,scripture,,grantha,Кришна-самхита,Kṛṣṇa-saṁhitā,Кришна-самхита,,Богословский труд о Кришне и хронологии Его явления.,,verified,provisional
brahmana-and-vaishnava,scripture,,grantha,Брахман и вайшнав,Brāhmaṇa o Vaiṣṇava,Брахман и вайшнав,,Эссе о соотношении положения брахмана и вайшнава.,,verified,provisional
