from_id,relation,to_id
rupa-goswami,author-of,ujjvala-nilamani
rupa-goswami,author-of,radha-krishna-ganoddesa-dipika
rupa-goswami,author-of,vidagdha-madhava
rupa-goswami,author-of,lalita-madhava
rupa-goswami,author-of,stava-mala
rupa-goswami,author-of,padyavali
rupa-goswami,author-of,hamsaduta
rupa-goswami,author-of,uddhava-sandesha
rupa-goswami,author-of,dana-keli-kaumudi
rupa-goswami,author-of,mathura-mahatmya
sanatana-goswami,author-of,brihad-bhagavatamrita
sanatana-goswami,author-of,dashama-tippani
jiva-goswami,author-of,shat-sandarbha
jiva-goswami,author-of,gopala-champu
jiva-goswami,author-of,hari-namamrita-vyakarana
jiva-goswami,author-of,sarva-samvadini
raghunatha-das-goswami,author-of,stavavali
raghunatha-das-goswami,author-of,manah-shiksha
raghunatha-das-goswami,author-of,mukta-charita
raghunatha-das-goswami,author-of,vraja-vilasa-stava
gopala-bhatta-goswami,author-of,sat-kriya-sara-dipika
kavi-karnapura,author-of,ananda-vrindavana-champu
kavi-karnapura,author-of,chaitanya-chandrodaya-nataka
kavi-karnapura,author-of,alankara-kaustubha
prabodhananda-saraswati-thakur,author-of,chaitanya-chandramrita
prabodhananda-saraswati-thakur,author-of,radha-rasa-sudha-nidhi
prabodhananda-saraswati-thakur,author-of,vrindavana-mahimamrita
krishnadasa-kaviraja,author-of,govinda-lilamrita
vishvanatha-chakravarti,author-of,madhurya-kadambini
vishvanatha-chakravarti,author-of,bhakti-rasamrita-sindhu-bindu
vishvanatha-chakravarti,author-of,sarartha-darshini
vishvanatha-chakravarti,author-of,krishna-bhavanamrita
vishvanatha-chakravarti,author-of,gurv-ashtaka
baladeva-vidyabhushana,author-of,govinda-bhashya
baladeva-vidyabhushana,author-of,prameya-ratnavali
baladeva-vidyabhushana,author-of,gita-bhushana
narottama-dasa-thakura,author-of,prarthana
narottama-dasa-thakura,author-of,prema-bhakti-chandrika
bhaktivinoda-thakura,author-of,jaiva-dharma
bhaktivinoda-thakura,author-of,harinama-chintamani
bhaktivinoda-thakura,author-of,bhajana-rahasya
bhaktivinoda-thakura,author-of,sharanagati
bhaktivinoda-thakura,author-of,gitavali
bhaktivinoda-thakura,author-of,kalyana-kalpataru
bhaktivinoda-thakura,author-of,navadvipa-dhama-mahatmya
bhaktivinoda-thakura,author-of,chaitanya-shikshamrita
bhaktivinoda-thakura,author-of,krishna-samhita
bhaktisiddhanta-sarasvati,author-of,brahmana-and-vaishnava
