id,name_en,name_iast_bestguess,unresolved_tokens
jangali,Jangali,Jangali,Jangali
brihachchhishu,Brihachchishu,Brihachchishu,Brihachchishu
ramai,Ramay,Ramay,Ramay
nandai,Nanday,Nanday,Nanday
janaki-rukmini,Janaki I Rukmini,Jānakī I Rukmiṇī,I
karttikeya,Karttikeya I Achyuta-Gopi,Kārttikeya I Acyuta-Gopī,I
chandrakanti,Chandrakanti-Devi I Purnananda-Gopi,Candrakānti-Devī I Pūrṇānanda-Gopī,I
shaibya,Shaybya-Gopi I Sarasvati,Śaibyā-Gopī I Sarasvatī,I
vira-devi,Vira-Devi I Duti-Devi,Vīrā-Devī I Dūtī-Devī,I
krishna-flute,Phleyta Gospoda Krishny,Phleyta Gospoda Krishny,Gospoda|Krishny|Phleyta
lavanga-manjari,Lavanga/rati-Manjari I Sanatana Kumar,Lavanga/rati-Mañjarī I Sanātana Kumāra,I|Lavanga/rati
rasa-manjari,Rasa/rati-Manjari,Rasa/rati-Mañjarī,Rasa/rati
yajna-patni,Yagya-Patni,Yagya-Patnī,Yagya
