id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence
acyuta-priya-das,personality,jiva-tattva,iskcon|initiating-guru,Acyuta Priya Das,Acyuta Priya Dāsa,Ачюта Прия Дас,APD,,GBC gbc.iskcon.org,verified
advaita-acharya-das,personality,jiva-tattva,iskcon|initiating-guru,Advaita Acharya Das,Advaita Ācārya Dāsa,Адвайта Ачаря Дас,AAD,,GBC gbc.iskcon.org,verified
adikarta-das,personality,jiva-tattva,iskcon|initiating-guru,Adikarta Das,Adikarta Dāsa,Адикарта Дас,AKD,,GBC gbc.iskcon.org,verified
asita-krishna-swami,personality,jiva-tattva,iskcon|initiating-guru,Asita Krishna Swami,Asita Kṛṣṇa Svāmī,Асита Кришна Свами,AKS,,GBC gbc.iskcon.org,verified
atmanivedana-swami,personality,jiva-tattva,iskcon|initiating-guru,Atmanivedana Swami,Atmanivedana Svāmī,Атманиведана Свами,AVS,,GBC gbc.iskcon.org,verified
bhakti-ananda-haridas-goswami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Ananda Haridas Goswami,Bhakti ānanda Haridas Gosvāmī,Бхакти Ананда Харидас Госвами,BAHG,,GBC gbc.iskcon.org,verified
bhakti-anugraha-janardana-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Anugraha Janardana Swami,Bhakti Anugraha Janardana Svāmī,Бхакти Ануграха Джанардана Свами,BAJS,,GBC gbc.iskcon.org,verified
bhakti-asraya-vaisnava-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Asraya Vaisnava Swami,Bhakti Asraya Vaisnava Svāmī,Бхакти Асрая Вайснава Свами,BAVS,,GBC gbc.iskcon.org,verified
bhaktivaibhava-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhaktivaibhava Swami,Bhaktivaibhava Svāmī,Бхактивайбхава Свами,BVS,,GBC gbc.iskcon.org,verified
bhakti-bhagavatamrita-kesava-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Bhagavatamrita Kesava Swami,Bhakti Bhagavatamrita Keśava Svāmī,Бхакти Бхагаватамрита Кесава Свами,BBKS,,GBC gbc.iskcon.org,verified
bhakti-bhrnga-govinda-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Bhrnga Govinda Swami,Bhakti Bhrnga Govinda Svāmī,Бхакти Бхрнга Говинда Свами,BBGS,,GBC gbc.iskcon.org,verified
bhakti-caitanya-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Caitanya Swami,Bhakti Caitanya Svāmī,Бхактичайтаня Свами,BCAIS,,GBC gbc.iskcon.org,verified
bhakti-carudesna-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Carudesna Swami,Bhakti Carudesna Svāmī,Бхактичарудесна Свами,BCDS,,GBC gbc.iskcon.org,verified
bhakti-dayita-adipurusha-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Dayita Adipurusha Swami,Bhakti Dayita Adipuruśa Svāmī,Бхакти Дайита Адипуруша Свами,BDAS,,GBC gbc.iskcon.org,verified
bhakti-dhira-damodara-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Dhira Damodara Swami,Bhakti Dhira Dāmodara Svāmī,Бхакти Дхира Дамодара Свами,BDDS,,GBC gbc.iskcon.org,verified
bhakti-gaurava-narayan-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Gaurava Narayan Swami,Bhakti Gaurava Nārāyaṇa Svāmī,Бхакти Гаурава Нараян Свами,BGNS,,GBC gbc.iskcon.org,verified
bhakti-gauravani-goswami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Gauravani Goswami,Bhakti Gauravani Gosvāmī,Бхакти Гауравани Госвами,BGVG,,GBC gbc.iskcon.org,verified
bhakti-prabhava-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Prabhava Swami,Bhakti Prabhava Svāmī,Бхакти Прабхава Свами,BPRS,,GBC gbc.iskcon.org,verified
bhakti-prabhupada-vrata-damodara-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Prabhupada-vrata Damodara Swami,Bhakti Prabhupāda-vrata Dāmodara Svāmī,Бхакти Прабхупада-Врата Дамодара Свами,BPDS,,GBC gbc.iskcon.org,verified
bhakti-pran-gopinath-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Pran Gopinath Swami,Bhakti Pran Gopinath Svāmī,Бхакти Пран Гопинатх Свами,BPGS,,GBC gbc.iskcon.org,verified
bhakti-prema-swami,personality,jiva-tattva,iskcon|initiating-guru,Bhakti Prema Swami,Bhakti Prema Svāmī,Бхакти Према Свами,BHPS,,GBC gbc.iskcon.org,verified
