from_id,relation,to_id
acyuta-priya-das,disciple-of,radhanath-swami
advaita-acharya-das,disciple-of,bhakti-tirtha-swami
adikarta-das,disciple-of,prabhupada
asita-krishna-swami,disciple-of,tamal-krishna-goswami
bhakti-anugraha-janardana-swami,disciple-of,gopal-krishna-goswami
bhakti-asraya-vaisnava-swami,disciple-of,gopal-krishna-goswami
bhaktivaibhava-swami,disciple-of,prabhupada
bhakti-bhrnga-govinda-swami,disciple-of,prabhupada
bhakti-caitanya-swami,disciple-of,prabhupada
bhakti-carudesna-swami,disciple-of,bhakti-tirtha-swami
bhakti-dayita-adipurusha-swami,disciple-of,gour-govinda-swami
bhakti-dhira-damodara-swami,disciple-of,bhakti-tirtha-swami
bhakti-gaurava-narayan-swami,disciple-of,tamal-krishna-goswami
bhakti-gauravani-goswami,disciple-of,prabhupada
bhakti-prabhava-swami,disciple-of,bhakti-charu-swami
bhakti-prabhupada-vrata-damodara-swami,disciple-of,prabhupada
bhakti-pran-gopinath-swami,disciple-of,gour-govinda-swami
bhakti-prema-swami,disciple-of,bhakti-charu-swami
bhakti-raghava-swami,disciple-of,prabhupada
bhakti-ratnakara-ambarisa-swami,disciple-of,gopal-krishna-goswami
bhakti-sundar-goswami,disciple-of,prabhupada
bhakti-vasudeva-swami,disciple-of,bhakti-tirtha-swami
bhakti-vijnana-goswami,disciple-of,radhanath-swami
bhakti-vikasa-swami,disciple-of,prabhupada
bhakti-vv-narasimha-swami,disciple-of,prabhupada
bhakti-bhusana-swami,disciple-of,prabhupada
bhaktimarga-swami,disciple-of,prabhupada
bhaktipada-goswami,disciple-of,sivarama-swami
bhurijana-das,disciple-of,prabhupada
bir-krsna-das-goswami,disciple-of,prabhupada
caitanya-avatari-das,disciple-of,jayapataka-swami
caitanya-candra-caran-das,disciple-of,jayapataka-swami
candra-mukha-swami,disciple-of,hrdayananda-dasa-goswami
candramauli-swami,disciple-of,prabhupada
danavir-goswami,disciple-of,prabhupada
devamrita-swami,disciple-of,prabhupada
dhanvantari-swami,disciple-of,prabhupada
dhirasanta-das-goswami,disciple-of,prabhupada
drutakarma-das,disciple-of,prabhupada
gauranga-prem-swami,disciple-of,jayapataka-swami
giridhari-swami,disciple-of,prabhupada
gopaswami-das,disciple-of,prabhupada
guru-prasad-swami,disciple-of,prabhupada
haladhara-swami,disciple-of,gour-govinda-swami
hanumatpresaka-swami,disciple-of,prabhupada
harivilas-das,disciple-of,prabhupada
hrdayananda-dasa-goswami,disciple-of,prabhupada
indradyumna-swami,disciple-of,prabhupada
janananda-dasa-goswami,disciple-of,prabhupada
jayadvaita-swami,disciple-of,prabhupada
jayapataka-swami,disciple-of,prabhupada
jivananda-das,disciple-of,prabhupada
kalakantha-das,disciple-of,prabhupada
kavicandra-swami,disciple-of,prabhupada
kesava-bharati-dasa-goswami,disciple-of,prabhupada
kratu-das,disciple-of,prabhupada
kripamoya-das,disciple-of,prabhupada
krsna-ksetra-swami,disciple-of,prabhupada
lokanath-swami,disciple-of,prabhupada
madana-mohana-das,disciple-of,mukunda-goswami
madan-gopal-das,disciple-of,satsvarupa-das-goswami
madhu-sevita-das,disciple-of,prabhupada
mahadyuti-swami,disciple-of,prabhupada
mahaman-das,disciple-of,prabhupada
mahaprabhu-swami,disciple-of,sivarama-swami
mahatma-das,disciple-of,prabhupada
mahavisnu-swami,disciple-of,prabhupada
mani-bandha-das,disciple-of,niranjana-swami
manonatha-das,disciple-of,prabhupada
matsya-avatara-das,disciple-of,prabhupada
medhavi-das,disciple-of,prabhupada
narayani-devi-dasi,disciple-of,prabhupada
navayogendra-swami,disciple-of,prabhupada
niranjana-swami,disciple-of,prabhupada
partha-sarathi-das-goswami,disciple-of,prabhupada
patita-pavana-das,disciple-of,indradyumna-swami
prabodhananda-saraswati-swami,disciple-of,gopal-krishna-goswami
prahladananda-swami,disciple-of,prabhupada
purushatraya-swami,disciple-of,prabhupada
radhacaran-das,disciple-of,tamal-krishna-goswami
radha-govinda-das,disciple-of,sivarama-swami
radha-govinda-swami,disciple-of,prabhupada
radha-krishna-das,disciple-of,tamal-krishna-goswami
radhanath-swami,disciple-of,prabhupada
ravindra-svarupa-das,disciple-of,prabhupada
revati-raman-das,disciple-of,jayapataka-swami
romapada-swami,disciple-of,prabhupada
rtadhvaja-swami,disciple-of,prabhupada
sacinandana-swami,disciple-of,prabhupada
samik-rsi-das,disciple-of,prabhupada
sankarsana-das,disciple-of,prabhupada
satyadeva-das,disciple-of,prabhupada
siddhartha-swami,disciple-of,prabhupada
sikhi-mahiti-das,disciple-of,prabhupada
sivarama-swami,disciple-of,prabhupada
smita-krsna-swami,disciple-of,prabhupada
sridhama-das,disciple-of,prabhupada
srivas-das,disciple-of,bhakti-tirtha-swami
subhaga-swami,disciple-of,prabhupada
sundarananda-das,disciple-of,gour-govinda-swami
sukadeva-swami,disciple-of,radhanath-swami
umapati-das,disciple-of,gopal-krishna-goswami
vaisesika-das,disciple-of,prabhupada
varsana-swami,disciple-of,prabhupada
vatsala-das,disciple-of,prabhupada
vasu-srestha-das,disciple-of,jayapataka-swami
vedavyasapriya-swami,disciple-of,prabhupada
virabahu-das,disciple-of,prabhupada
yadunandana-swami,disciple-of,satsvarupa-das-goswami
yamunacarya-das-goswami,disciple-of,hrdayananda-dasa-goswami
bhanu-swami,disciple-of,prabhupada
ganapati-swami,disciple-of,prabhupada
giriraja-swami,disciple-of,prabhupada
mukunda-goswami,disciple-of,prabhupada
satsvarupa-das-goswami,disciple-of,prabhupada
vegavan-das,disciple-of,prabhupada
bhakti-tirtha-swami,disciple-of,prabhupada
tamal-krishna-goswami,disciple-of,prabhupada
gopal-krishna-goswami,disciple-of,prabhupada
gour-govinda-swami,disciple-of,prabhupada
bhakti-charu-swami,disciple-of,prabhupada
