id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence,iast_status
satyavati,personality,jiva-tattva,mahabharata|kuru,Satyavati,Satyavatī,Сатьявати,,"Царица, мать Вьясы",Махабхарата,verified,verified
vichitravirya,personality,jiva-tattva,mahabharata|kuru,Vichitravirya,Vicitravīrya,Вичитравирья,,Сын Шантану и Сатьявати,Махабхарата,verified,verified
chitrangada-kuru,personality,jiva-tattva,mahabharata|kuru,Chitrangada,Citrāṅgada,Читрангада,,Сын Шантану,Махабхарата,verified,verified
ambika,personality,jiva-tattva,mahabharata|kuru,Ambika,Ambikā,Амбика,,Мать Дхритараштры,Махабхарата,verified,verified
ambalika,personality,jiva-tattva,mahabharata|kuru,Ambalika,Ambālikā,Амбалика,,Мать Панду,Махабхарата,verified,verified
madri,personality,jiva-tattva,mahabharata|kuru,Madri,Mādrī,Мадри,,"Жена Панду, мать Накулы и Сахадевы",Махабхарата,verified,verified
gandhari,personality,jiva-tattva,mahabharata|kaurava,Gandhari,Gāndhārī,Гандхари,,"Жена Дхритараштры, мать Кауравов",Махабхарата,verified,verified
shakuni,personality,jiva-tattva,mahabharata|kaurava,Shakuni,Śakuni,Шакуни,,Брат Гандхари,Махабхарата,verified,verified
dushasana,personality,jiva-tattva,mahabharata|kaurava,Dushasana,Duḥśāsana,Духшасана,,Каурава,Махабхарата,verified,verified
kripacharya,personality,jiva-tattva,mahabharata|warrior,Kripacharya,Kṛpācārya,Крипачарья,,Наставник,Махабхарата,verified,verified
ashwatthama,personality,jiva-tattva,mahabharata|warrior,Ashwatthama,Aśvatthāmā,Ашваттхама,,Сын Дроны,Махабхарата,verified,verified
satyaki,personality,jiva-tattva,mahabharata|warrior,Satyaki,Sātyaki,Сатьяки,,Воин Ядавов,Махабхарата,verified,verified
kritavarma,personality,jiva-tattva,mahabharata|warrior,Kritavarma,Kṛtavarmā,Критаварма,,Воин Ядавов,Махабхарата,verified,verified
drupada,personality,jiva-tattva,mahabharata|panchala,Drupada,Drupada,Друпада,,"Царь Панчалы, отец Драупади",Махабхарата,verified,verified
dhrishtadyumna,personality,jiva-tattva,mahabharata|panchala,Dhrishtadyumna,Dhṛṣṭadyumna,Дхриштадьюмна,,Брат Драупади,Махабхарата,verified,verified
shikhandi,personality,jiva-tattva,mahabharata|panchala,Shikhandi,Śikhaṇḍī,Шикханди,,Воин Панчалы,Махабхарата,verified,verified
virata,personality,jiva-tattva,mahabharata|king,Virata,Virāṭa,Вирата,,Царь Матсьи,Махабхарата,verified,verified
uttara-devi,personality,jiva-tattva,mahabharata|kuru,Uttara,Uttarā,Уттара,,"Жена Абхиманью, мать Парикшита",Махабхарата,verified,verified
jayadratha,personality,jiva-tattva,mahabharata|warrior,Jayadratha,Jayadratha,Джаядратха,,Царь Синдху,Махабхарата,verified,verified
jarasandha,personality,jiva-tattva,mahabharata|king,Jarasandha,Jarāsandha,Джарасандха,,Царь Магадхи,Махабхарата,verified,verified
shishupala,personality,jiva-tattva,mahabharata|king,Shishupala,Śiśupāla,Шишупала,,Царь Чеди,Махабхарата,verified,verified
ekalavya,personality,jiva-tattva,mahabharata|warrior,Ekalavya,Ekalavya,Эклавья,,Лучник-нишада,Махабхарата,verified,verified
ghatotkacha,personality,jiva-tattva,mahabharata|warrior,Ghatotkacha,Ghaṭotkaca,Гхатоткача,,Сын Бхимы и Хидимбы,Махабхарата,verified,verified
hidimbi,personality,jiva-tattva,mahabharata|warrior,Hidimbi,Hiḍimbā,Хидимба,,Жена Бхимы,Махабхарата,verified,verified
iravan,personality,jiva-tattva,mahabharata|warrior,Iravan,Irāvān,Ираван,,Сын Арджуны и Улупи,Махабхарата,verified,verified
ulupi,personality,jiva-tattva,mahabharata|warrior,Ulupi,Ulūpī,Улупи,,Жена Арджуны,Махабхарата,verified,verified
shalya,personality,jiva-tattva,mahabharata|king,Shalya,Śalya,Шалья,,"Царь Мадры, брат Мадри",Махабхарата,verified,verified
