from_id,relation,to_id
shantanu,father-of,bhishma
ganga-devi,mother-of,bhishma
shantanu,husband-of,satyavati
satyavati,mother-of,vyasadeva
shantanu,father-of,vichitravirya
satyavati,mother-of,vichitravirya
shantanu,father-of,chitrangada-kuru
ambika,mother-of,dhritarashtra
ambalika,mother-of,pandu
vichitravirya,husband-of,ambika
vichitravirya,husband-of,ambalika
pandu,father-of,yudhishthira
pandu,father-of,bhima
pandu,father-of,arjuna
pandu,father-of,nakula
pandu,father-of,sahadeva
kunti,wife-of,pandu
madri,wife-of,pandu
madri,mother-of,nakula
madri,mother-of,sahadeva
gandhari,wife-of,dhritarashtra
gandhari,mother-of,duryodhana
shakuni,brother-of,gandhari
dushasana,brother-of,duryodhana
ashwatthama,son-of,drona
drupada,father-of,draupadi
drupada,father-of,dhrishtadyumna
drupada,father-of,shikhandi
dhrishtadyumna,brother-of,draupadi
uttara-devi,wife-of,abhimanyu
uttara-devi,mother-of,pariksit
ghatotkacha,son-of,bhima
hidimbi,wife-of,bhima
hidimbi,mother-of,ghatotkacha
iravan,son-of,arjuna
ulupi,wife-of,arjuna
shalya,brother-of,madri
hidimbi,appears-in,mahabharata
drupada,appears-in,mahabharata
ambika,appears-in,mahabharata
kritavarma,appears-in,mahabharata
ulupi,appears-in,mahabharata
ashwatthama,appears-in,mahabharata
gandhari,appears-in,mahabharata
ambalika,appears-in,mahabharata
shishupala,appears-in,mahabharata
shishupala,appears-in,sb
shishupala,appears-in,krishna-book
shakuni,appears-in,mahabharata
dushasana,appears-in,mahabharata
chitrangada-kuru,appears-in,mahabharata
madri,appears-in,mahabharata
shikhandi,appears-in,mahabharata
uttara-devi,appears-in,mahabharata
kripacharya,appears-in,mahabharata
shalya,appears-in,mahabharata
satyavati,appears-in,mahabharata
dhrishtadyumna,appears-in,mahabharata
jarasandha,appears-in,mahabharata
jarasandha,appears-in,sb
jarasandha,appears-in,krishna-book
satyaki,appears-in,mahabharata
virata,appears-in,mahabharata
vichitravirya,appears-in,mahabharata
jayadratha,appears-in,mahabharata
ghatotkacha,appears-in,mahabharata
ekalavya,appears-in,mahabharata
iravan,appears-in,mahabharata
