id,type,tattva,category,name_en,name_iast,name_ru,aliases,note,source_ref,confidence,iast_status
gour-mohan-de,personality,jiva-tattva,pl|family,Gour Mohan De,Gaura Mohana De,Гоур Мохан Де,,Отец Шрилы Прабхупады,Прабхупада-лиламрита,verified,verified
rajani-de,personality,jiva-tattva,pl|family,Rajani Devi,Rajanī Devī,Раджани Деви,,Мать Шрилы Прабхупады,Прабхупада-лиламрита,verified,verified
radharani-de,personality,jiva-tattva,pl|family,Radharani Devi,Rādhārāṇī Devī,Радхарани Деви,,Супруга Прабхупады в семейной жизни,Прабхупада-лиламрита,review,verified
bhakti-prajnana-keshava,personality,jiva-tattva,pl|godbrother,Bhakti Prajnana Keshava Maharaja,Bhakti Prajñāna Keśava Mahārāja,Бхакти Прагьяна Кешава Махарадж,,Духовный брат; даровал Прабхупаде санньясу (1959),Прабхупада-лиламрита,verified,verified
bhakti-rakshak-sridhar,personality,jiva-tattva,pl|godbrother,Bhakti Rakshak Sridhar Maharaja,Bhakti Rakṣaka Śrīdhara Mahārāja,Бхакти Ракшак Шридхар Махарадж,,Духовный брат Прабхупады,Прабхупада-лиламрита,verified,verified
bhakti-hridaya-bon,personality,jiva-tattva,pl|godbrother,Bhakti Hridaya Bon Maharaja,Bhakti Hṛdaya Bon Mahārāja,Бхакти Хридай Бон Махарадж,,Духовный брат Прабхупады,Прабхупада-лиламрита,verified,verified
bhakti-pramode-puri,personality,jiva-tattva,pl|godbrother,Bhakti Pramode Puri Maharaja,Bhakti Pramoda Purī Mahārāja,Бхакти Прамод Пури Махарадж,,Духовный брат Прабхупады,Прабхупада-лиламрита,review,verified
bhakti-saranga-goswami,personality,jiva-tattva,pl|godbrother,Bhakti Saranga Goswami Maharaja,Bhakti Sāraṅga Gosvāmī Mahārāja,Бхакти Саранга Госвами Махарадж,,Духовный брат Прабхупады,Прабхупада-лиламрита,review,verified
akincana-krishnadasa-babaji,personality,jiva-tattva,pl|godbrother,Akincana Krishnadasa Babaji,Akiñcana Kṛṣṇadāsa Bābājī,Акинчана Кришнадас Бабаджи,,Духовный брат Прабхупады,Прабхупада-лиламрита,review,verified
bhakti-dayita-madhava,personality,jiva-tattva,pl|godbrother,Bhakti Dayita Madhava Maharaja,Bhakti Dayita Mādhava Mahārāja,Бхакти Дайита Мадхава Махарадж,,Духовный брат Прабхупады,Прабхупада-лиламрита,review,verified
kirtanananda-swami,personality,jiva-tattva,pl|zonal-acharya-1977,Kirtanananda Swami,Kīrtanānanda Svāmī,Киртанананда Свами,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
bhavananda-das,personality,jiva-tattva,pl|zonal-acharya-1977,Bhavananda,Bhavānanda,Бхавананда,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
hansadutta-das,personality,jiva-tattva,pl|zonal-acharya-1977,Hansadutta,Haṁsadūta,Хамсадутта,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
ramesvara-swami,personality,jiva-tattva,pl|zonal-acharya-1977,Ramesvara Swami,Rāmeśvara Svāmī,Рамешвара Свами,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
harikesa-swami,personality,jiva-tattva,pl|zonal-acharya-1977,Harikesa Swami,Harikeśa Svāmī,Харикеша Свами,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
bhagavan-das-acharya,personality,jiva-tattva,pl|zonal-acharya-1977,Bhagavan Das,Bhagavān Dāsa,Бхагаван дас,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
jayatirtha-das,personality,jiva-tattva,pl|zonal-acharya-1977,Jayatirtha,Jayatīrtha,Джаятиртха,,Один из первых инициирующих ачарьев 1977 г.,Прабхупада-лиламрита,review,verified
shyamasundara-das,personality,jiva-tattva,pl|founding-disciple,Shyamasundara Das,Śyāmasundara Dāsa,Шьямасундара дас,,Ранний ученик; личный слуга Прабхупады,Прабхупада-лиламрита,verified,verified
brahmananda-das,personality,jiva-tattva,pl|founding-disciple,Brahmananda Das,Brahmānanda Dāsa,Брахмананда дас,,Один из первых учеников в Нью-Йорке,Прабхупада-лиламрита,verified,verified
gargamuni-swami,personality,jiva-tattva,pl|founding-disciple,Gargamuni Swami,Gargamuni Svāmī,Гаргамуни Свами,,Один из первых учеников в Нью-Йорке; брат Брахмананды,Прабхупада-лиламрита,review,verified
achyutananda-swami,personality,jiva-tattva,pl|founding-disciple,Achyutananda Swami,Acyutānanda Svāmī,Ачьютананда Свами,,Ранний ученик; первым из учеников отправился в Индию,Прабхупада-лиламрита,review,verified
