from_id,relation,to_id
bhakti-prajnana-keshava,disciple-of,bhaktisiddhanta-sarasvati
bhakti-rakshak-sridhar,disciple-of,bhaktisiddhanta-sarasvati
bhakti-hridaya-bon,disciple-of,bhaktisiddhanta-sarasvati
bhakti-pramode-puri,disciple-of,bhaktisiddhanta-sarasvati
bhakti-saranga-goswami,disciple-of,bhaktisiddhanta-sarasvati
akincana-krishnadasa-babaji,disciple-of,bhaktisiddhanta-sarasvati
bhakti-dayita-madhava,disciple-of,bhaktisiddhanta-sarasvati
kirtanananda-swami,disciple-of,prabhupada
bhavananda-das,disciple-of,prabhupada
hansadutta-das,disciple-of,prabhupada
ramesvara-swami,disciple-of,prabhupada
harikesa-swami,disciple-of,prabhupada
bhagavan-das-acharya,disciple-of,prabhupada
jayatirtha-das,disciple-of,prabhupada
shyamasundara-das,disciple-of,prabhupada
brahmananda-das,disciple-of,prabhupada
gargamuni-swami,disciple-of,prabhupada
achyutananda-swami,disciple-of,prabhupada
hayagriva-das,disciple-of,prabhupada
rupanuga-das,disciple-of,prabhupada
rayarama-das,disciple-of,prabhupada
gurudas,disciple-of,prabhupada
jadurani-devi-dasi,disciple-of,prabhupada
govinda-dasi,disciple-of,prabhupada
prabhupada,son-of,gour-mohan-de
prabhupada,son-of,rajani-de
bhakti-prajnana-keshava,godbrother-of,prabhupada
bhakti-rakshak-sridhar,godbrother-of,prabhupada
bhakti-hridaya-bon,godbrother-of,prabhupada
bhakti-pramode-puri,godbrother-of,prabhupada
bhakti-saranga-goswami,godbrother-of,prabhupada
akincana-krishnadasa-babaji,godbrother-of,prabhupada
bhakti-dayita-madhava,godbrother-of,prabhupada
