from_id,relation,to_id
dasharatha,father-of,rama
dasharatha,father-of,lakshmana
dasharatha,father-of,bharata-dasharathi
dasharatha,father-of,shatrughna
kausalya,mother-of,rama
kaikeyi,mother-of,bharata-dasharathi
sumitra,mother-of,lakshmana
sumitra,mother-of,shatrughna
kausalya,wife-of,dasharatha
kaikeyi,wife-of,dasharatha
sumitra,wife-of,dasharatha
lakshmana,brother-of,rama
bharata-dasharathi,brother-of,rama
shatrughna,brother-of,rama
urmila,wife-of,lakshmana
kusha,son-of,rama
lava,son-of,rama
vali,brother-of,sugriva
tara-vanara,wife-of,vali
angada,son-of,vali
vibhishana,brother-of,ravana
kumbhakarna,brother-of,ravana
indrajit,son-of,ravana
mandodari,wife-of,ravana
surpanakha,sister-of,ravana
valmiki,author-of,ramayana
guha,appears-in,ramayana
kausalya,appears-in,ramayana
jatayu,appears-in,ramayana
kumbhakarna,appears-in,ramayana
sumitra,appears-in,ramayana
nala-vanara,appears-in,ramayana
ahalya,appears-in,ramayana
mandodari,appears-in,ramayana
lava,appears-in,ramayana
shatrughna,appears-in,ramayana
dasharatha,appears-in,ramayana
lakshmana,appears-in,ramayana
indrajit,appears-in,ramayana
urmila,appears-in,ramayana
surpanakha,appears-in,ramayana
maricha,appears-in,ramayana
bharata-dasharathi,appears-in,ramayana
sampati,appears-in,ramayana
jambavan,appears-in,ramayana
valmiki,appears-in,ramayana
shabari,appears-in,ramayana
kaikeyi,appears-in,ramayana
kusha,appears-in,ramayana
vali,appears-in,ramayana
tara-vanara,appears-in,ramayana
